111 849;Avant Avril 2011;MLV;Marne la Vallée Chessy;OUI;OUI;FRMLV;87111849;632764;2430346;;632764;2430346
;;;;;;;87113001;601662;2430918;;0;0
116 137;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;LON;Longueville;01/01/2013;;FRLON;87116137;667488;2390918;;667488;2390918
;;;;;;;87116137;667488;2390918;;0;0
116 582;Avant Avril 2011;CTH;Château Thierry;OUI;NON;FRXCY;87116582;;;;678485;2449435
;;;;;;;87116582;678485;2449435;;0;0
118 000;Avant Avril 2011;TOY;Troyes;OUI;OUI;FRQYR;87118000;;;;728299;2367635
;;;;;;;87118000;728299;2367635;;0;0
118 158;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;RMY;Romilly sur Seine;01/01/2013;;FRAPI;87118158;;;;702858;2391510
;;;;;;;87118158;702858;2391510;;0;0
118 190;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;NOG;Nogent sur Seine;01/01/2013;;FRAPM;87118190;;;;685547;2389412
;;;;;;;87118190;685547;2389412;;0;0
141 002;Avant Avril 2011;NCY;Nancy;OUI;OUI;FRENC;87141002;;;;882566;2417033
;;;;;;;87141002;882566;2417033;;0;0
141 010;09/04/2013;JAR;Jarville-la-Malgrange;OUI;;FRJAM;87141010;;;;884730;2414930
;;;;;;;87141010;884730;2414930;;854455;2414544
;;;;;;;87141036;854455;2414544;;0;0
141 044;19/04/2012;TOL;Toul;10/05/2012;NON;FRTOL;87141044;;;;859829;2414451
;;;;;;;87141044;859829;2414451;;868171;2418761
;;;;;;;87141051;868171;2418761;;873965;2423259
;;;;;;;87141069;873965;2423259;;0;0
141 077;Avant Avril 2011;FRD;Frouard;23/03/2012;NON;FRFRO;87141077;;;;880003;2424231
;;;;;;;87141077;880003;2424231;;#REF!;#REF!
;;;;;;;87141143;903593;2403635;;0;0
141 150;Avant Avril 2011;LNE;Lunéville;OUI;OUI;FRLNE;87141150;;;;906908;2406934
;;;;;;;87141150;906908;2406934;;914604;2407335
;;;;;;;87141168;914604;2407335;;921340;2412370
;;;;;;;87141184;921340;2412370;;899741;2397158
;;;;;;;87141200;899741;2397158;;0;0
141 218;05/02/2013;BYN;Bayon;OUI;;FRARS;87141218;;;;894750;2392943
;;;;;;;87141218;894750;2392943;;904590;2400712
;;;;;;;87141226;904590;2400712;;908440;2396903
;;;;;;;87141234;908440;2396903;;912648;2395592
;;;;;;;87141242;912648;2395592;;851395;2383408
;;;;;;;87141259;851395;2383408;;912811;2391353
;;;;;;;87141267;912811;2391353;;0;0
141 291;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;NCH;Neufchateau;10/05/2012;;FRNCH;87141291;;;;848524;2378447
;;;;;;;87141291;848524;2378447;;0;0
141 374;09/04/2013;SCX;Saint-Clément - Laronxe;OUI;;FRASI;87141374;;;;915473.1;2401062.14
;;;;;;;87141374;915473.1;2401062.14;;917303;2399868
;;;;;;;87141382;917303;2399868;;919367;2398361
;;;;;;;87141390;919367;2398361;;0;0
141 408;26/02/2013;AZE;Azerailles;OUI;;FRASL;87141408;;;;922177;2396987
;;;;;;;87141408;922177;2396987;;0;0
141 416;05/02/2013;BAC;Baccarat;OUI;;FRASM;87141416;;;;925958;2392854
;;;;;;;87141416;925958;2392854;;929581;2390399
;;;;;;;87141424;929581;2390399;;931088.75;2388862.86
;;;;;;;87141432;931088.75;2388862.86;;883204;2412138
;;;;;;;87141473;883204;2412138;;882685;2409489
;;;;;;;87141481;882685;2409489;;880316;2408352
;;;;;;;87141499;880316;2408352;;878075;2408464
;;;;;;;87141507;878075;2408464;;877784.66;2407076.55
;;;;;;;87141523;877784.66;2407076.55;;877604;2405295
;;;;;;;87141531;877604;2405295;;877886;2403433
;;;;;;;87141549;877886;2403433;;879606.51;2401235.3
;;;;;;;87141556;879606.51;2401235.3;;880696.54;2399816.93
;;;;;;;87141564;880696.54;2399816.93;;882223;2398541
;;;;;;;87141572;882223;2398541;;880346.67;2393997.83
;;;;;;;87141598;880346.67;2393997.83;;878245.78;2393533.26
;;;;;;;87141606;878245.78;2393533.26;;878521.23;2388232.54
;;;;;;;87141622;878521.23;2388232.54;;880614;2384375
;;;;;;;87141648;880614;2384375;;857751;2410900
;;;;;;;87141705;857751;2410900;;857924;2409110
;;;;;;;87141713;857924;2409110;;858328;2405751
;;;;;;;87141721;858328;2405751;;859364;2403327
;;;;;;;87141739;859364;2403327;;889882;2365260
;;;;;;;87141747;889882;2365260;;858754;2398686
;;;;;;;87141754;858754;2398686;;0;0
141 788;14/05/2013;PPE;Pompey;OUI;;FRATS;87141788;;;;878909.55;2426152.15
;;;;;;;87141788;878909.55;2426152.15;;877192;2429184
;;;;;;;87141796;877192;2429184;;876540;2431186
;;;;;;;87141804;876540;2431186;;874204;2433775
