UIC;Remontée dans TVS National;Code TVS export TGD/ TGA;Libellé;affichage GeM;Info TIC;code QLT;code UIC 8;;
594 234;02/09/2011;AAA;Allassac;OUI;NON;FRALC;87594234;;
783 266;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;AAU;Aumont Aubrac;01/01/2013;;FRINC;87783266;;
317 362;Avant Avril 2011;ABB;Abbeville;OUI;NON;FRXAB;87317362;;
746 115;Avant Avril 2011;ABN;Albens;17/02/2012;NON;FRALE;87746115;;
313 759;21/05/2013;ABT;Abancourt;OUI;;FRABT;87313759;;
172 858;23/04/2013;ACP;Anchamps;OUI;;FRBEP;87172858;;
741 256;21/05/2013;AEB;Aiguebelle;OUI;;FRAGB;87741256;;
726 760;02/09/2011;AEC;Aurec;OUI;NON;FRHIQ;87726760;;
386 730;23/04/2013;AEH;Aubergenville Élisabethville;OUI;;FRDGF;87386730;;
613 075;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;AER;Assier;01/01/2013;;FRFSD;87613075;;
597 120;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;AGC;Argenton-sur-Creuse;01/01/2013;;FRFMT;87597120;;
781 278;09/05/2012;AGD;Agde;11/05/2012;NON;FRXAG;87781278;;
586 008;Avant Avril 2011;AGN;Agen;OUI;OUI;FRAGF;87586008;;
741 421;21/05/2013;AGQ;Aiguebelette-le-Lac;OUI;;FRHOL;87741421;;
611 384;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;AIE;Auterive;01/01/2013;;FRFPW;87611384;;
741 132;Avant Avril 2011;AIX;Aix les Bains le Revard;OUI;OUI;FRXAI;87741132;;
722 744;26/02/2013;ALA;Alaï;OUI;;FRCBY;87722744;;
615 005;Avant Avril 2011;ALB;Albi;OUI;OUI;FRAFJ;87615005;;
775 288;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;ALE;Alès;01/01/2013;;FRXAS;87775288;;
182 238;29/01/2013;ALK;Altkirch;OUI;;FRBJI;87182238;;
615 195;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;ALM;Albi Madeleine;01/01/2013;;FRAMA;87615195;;
444 711;Avant Avril 2011;ALN;Alençon;23/03/2012;NON;FRXAN;87444711;;
741 645;Avant Avril 2011;ALV;Albertville;OUI;NON;FRXAV;87741645;;
743 716;02/09/2011;AMB;Ambérieu en Bugey;OUI;NON;FRAMB;87743716;;
721 035;29/01/2013;AMP;Amplepuis;OUI;;FRHCE;87721035;;
574 343;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;AMQ;Amboise;01/01/2013;;FRXAM;87574343;;
784 231;11/12/2012;AMR;Argelès sur Mer;12/12/2012;;FRARM;87784231;;
313 874;Avant Avril 2011;AMS;Amiens;OUI;OUI;FRQAM;87313874;;
481 192;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;ANC;Ancenis;10/05/2012;;FREFN;87481192;;
745 497;02/09/2011;ANE;Annemasse;OUI;NON;FRQNJ;87745497;;
583 005;10/07/2012;ANG;Angoulême;10/05/2012;;FRANG;87583005;;
741 769;04/04/2013;ANJ;Aime - La Plagne;02/09/2011;;FRQAI;87741769;;
721 324;05/02/2013;ANS;Anse;OUI;;FRHCM;87721324;;
746 008;Avant Avril 2011;ANY;Annecy;OUI;OUI;FRNCY;87746008;;
726 406;26/02/2013;ANZ;Andrézieux;OUI;;FRHHS;87726406;;
582 668;Via WS SUM Sans VaQ Copyright SNCFProximités 16/05/2012;ARC;Arcachon;OUI;;FRQNJ;87582668;;
444 539;02/09/2011;ARG;Argentan;23/03/2012;NON;FRART;87444539;;
144 410;23/04/2013;ARH;Arches;OUI;;FRARH;87144410;;
172 122;23/04/2013;ARI;Aubrives;OUI;;FRBDJ;87172122;;
342 014;Avant Avril 2011;ARR;Arras;OUI;OUI;FRQRV;87342014;;
