prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
4;4 ROUTES DE SAIGNES;87408831;FRJFN;FRJFN;;0;0;0;0;0;0.0;N;15
0;ABANCOURT;87313759;FRABT;ABANC;;0;0;0;0;0;0.0;O;60
1;ABBAYE;87113886;FRAJH;LABBA;;0;0;0;0;0;75.0;N;93
0;ABBEMONT;87588475;FRZHW;FRZHW;;0;0;0;0;0;0.0;N;60
0;ABBEVILLE;87317362;FRXAB;ABBEV;;0;0;0;0;0;0.0;O;80
0;ABLON;87545269;FRABL;ABLON;;0;0;0;0;0;75.0;N;94
0;ABONCOURT MOSELLE;87191403;FRABM;ABONC;;0;0;0;0;0;0.0;N;57
0;ABONDANCE;99198317;FRACF;FRACF;;0;0;0;1;0;0.0;N;74
0;ABREST LES DOLLOTS;87407494;FRBST;FRBST;;0;0;0;0;0;0.0;N;3
4;ABRETS FITILIEU;87741496;FRHOS;LABRE;;0;0;0;0;0;0.0;N;38
0;ABRIES;99050010;FRAAP;ABRIE;;0;0;0;1;;0.0;N;5
0;ACCOLAY;87683656;FRACC;ACCOL;;0;0;0;0;0;0.0;N;89
0;ACCOUS;87672782;FRACS;ACCOU;;0;0;0;0;0;0.0;N;64
0;ACHERES GD CORMIER;87386052;FREIG;FREIG;;0;0;0;0;0;75.0;N;78
0;ACHERES VILLE;87381657;FRACV;ACHER;;0;0;0;0;0;75.0;N;78
0;ACHEUX FRANLEU;87316745;FRAFR;ACHEU;;0;0;0;0;0;0.0;N;80
0;ACHIET;87342048;FRACT;ACHIE;;0;0;0;0;0;0.0;N;62
0;ACHY;87316455;FRACY;ACHY;;0;0;0;0;0;0.0;N;60
0;ADAMSWILLER;87215681;FRASW;ADAMS;;0;0;0;0;0;0.0;N;67
0;AEROPORT CDG 1 ROISSY;87271460;FRISO;ROISS;;0;0;0;0;0;75.0;N;95
0;AEROPORT CDG 2 RER;87001479;FRZGV;FRZGV;;0;0;0;0;0;75.0;O;95
0;AEROPORT CDG2 TGV ROISSY;87271494;FRMLW;FRMLW;;0;0;0;0;;75.0;O;95
0;AEROPORT ORLY RER C;87070862;FROSL;FROSL;;0;0;0;0;;0.0;N;94
0;AEROPORT ORLY VAL;87124925;FROYV;FROYV;;0;0;0;0;;0.0;N;94
0;AEROPORTS CDG ROISSY;87070870;FRRSS;FRRSS;;0;0;0;0;;0.0;N;95
5;AFFRIQUE;87783480;FRINP;SAFFR;;0;0;0;0;0;0.0;O;12
5;AFFRIQUE.M-81;87449041;FRUON;FRUON;;0;0;0;0;0;0.0;N;81
0;AGAY;87757559;FRAGY;AGAY;;0;0;0;0;0;0.0;N;83
0;AGDE;87781278;FRXAG;AGDE;;0;0;0;0;0;0.0;N;34
0;AGEN;87586008;FRAGF;AGEN;;0;0;0;0;0;0.0;O;47
0;AGEN CIMETIERE;87465534;FRDPD;FRDPD;;0;0;0;0;0;0.0;N;47
0;AGEN DOT;87476713;FRDPB;FRDPB;;0;0;0;0;0;0.0;N;47
0;AGEN LYCEE PALISSY;87462424;FRIKG;FRIKG;;0;0;0;0;0;0.0;N;47
0;AGEN MAGNOLIAS;87465559;FRDPG;FRDPG;;0;0;0;0;0;0.0;N;47
0;AGEN PAYOU;87465542;FRIKH;FRIKH;;0;0;0;0;0;0.0;N;47
0;AGEN UNIVERSITE;87589879;FRDVU;FRDVU;;0;0;0;0;0;0.0;N;47
0;AGGLO. CERGY-P.;87382657;FROGP;FROGP;;0;0;0;0;;0.0;N;95
5;AGNAN;87694851;FRGRV;SAGNA;;0;0;0;0;0;0.0;N;71
5;AGNANT;87321786;FRSNA;FRSNA;;0;0;0;0;0;0.0;N;17
5;AGNE;87611301;FRSGN;SAGNE;;0;0;0;0;0;0.0;O;31
5;AGNET;87464784;FRIMX;FRIMX;;0;0;0;0;0;0.0;N;40
0;AGON COUTAINVILLE;99354951;FRACO;FRACO;;0;0;0;1;0;0.0;N;50
0;AGONAC;87595157;FRAGO;AGONA;;0;0;0;0;0;0.0;N;24
0;AGOS;87620070;FRAGS;FRAGS;;0;0;0;0;0;0.0;N;65
0;AGUESSAC;87783399;FRINL;AGUES;;0;0;0;0;0;0.0;N;12
0;AGUILCOURT VARISCOURT;87171702;FRAVR;AGUIL;;0;0;0;0;0;0.0;N;2
0;AHUN CREUSE;87445015;FRPBW;FRPBW;;0;0;0;0;0;0.0;N;23
1;AIGLE;87444638;FRDSQ;LAIGL;;0;0;0;0;0;0.0;N;61
0;AIGLUN;87751479;FRAUN;AIGLU;;0;0;0;0;0;0.0;N;4
5;AIGNAN NOYERS;87574897;FREVM;SAINO;;0;0;0;0;0;0.0;N;41
0;AIGUEBELETTE LE LAC;87741421;FRHOL;AIGTE;;0;0;0;0;0;0.0;N;73
0;AIGUEBELLE;87741256;FRAGB;AIGLE;;0;0;0;0;0;0.0;N;73
0;AIGUEBLANCHE;87741710;FRHPD;AIGHE;1;0;0;0;0;0;0.0;N;73
0;AIGUEFONDE LA ROUBINARIE;87447086;FRUKW;FRUKW;;0;0;0;0;0;0.0;N;81
0;AIGUEPERSE;87734129;FRAPS;AIGSE;;0;0;0;0;0;0.0;N;63
0;AIGUES MORTES;87775858;FRAMO;AIGUE;;0;0;0;0;0;0.0;N;30
0;AIGUES VIVES 09;87130864;FRUNV;FRUNV;;0;0;0;0;0;0.0;N;9
1;AIGUILLE;87592634;FRFHU;AIGLL;;0;0;0;0;0;0.0;N;87
0;AIGUILLES;99050030;FRAAU;AIGLS;;0;0;0;1;;0.0;N;5
0;AIGUILLON LOT ET GARONNE;87586693;FRAON;AIGUI;;0;0;0;0;0;0.0;N;47
5;AIGULIN LA ROCHE CHALAI;87584540;FRFEO;SAIGU;;0;0;0;0;0;0.0;N;17
0;AILLEVILLE;87215624;FRVAA;FRVAA;;0;0;0;0;0;0.0;N;10
0;AILLEVILLERS;87185629;FRAIL;AILLE;;0;0;0;0;0;0.0;O;70
0;AILLON LE JEUNE;99730040;FRIVC;AILLJ;;0;0;0;1;;0.0;N;73
0;AILLON LE VIEUX;99730050;FRIVD;AILLV;;0;0;0;1;0;0.0;N;73
4;AILLONS;99739670;FRIZG;LAILN;;0;0;0;1;;0.0;N;73
0;AILLY SUR NOYE;87313221;FRAIN;AILSN;;0;0;0;0;0;0.0;N;80
0;AILLY SUR SOMME;87313098;FRAIS;AILSS;;0;0;0;0;0;0.0;N;80
0;AIMARGUES;87775833;FRILE;AIMAR;;0;0;0;0;0;0.0;N;30
0;AIME 2000;99739750;FRIZN;AIME;;0;0;0;1;;0.0;N;73
0;AIME LA PLAGNE;87741769;FRQAI;AIMEP;1;0;0;0;0;0;0.0;N;73
0;AINAY LE VIEIL;87576330;FRCWO;AINLV;;0;0;0;0;0;0.0;N;18
0;AIRANS;87745125;FRHRK;AIRAN;;0;0;0;0;0;0.0;N;1
0;AIRE ADOUR OFFICE TOURISME;87464776;FRIMS;FRIMS;;0;0;0;0;0;0.0;O;40
0;AIRE DE COVOITURAGE SORTIE 45;87544742;FRSOR;FRSOR;;0;0;0;0;0;0.0;N;19
0;AIRE SUR L ADOUR;87671040;FRAAD;AIREA;;0;0;0;0;0;0.0;N;40
0;AIRE SUR L'ADOUR LOC;40067104;FRZHL;FRZHL;;1;0;0;0;0;0.0;N;40
0;AIRE-ADOUR AV DES PY;87614313;FRUQC;FRUQC;;0;0;0;0;0;0.0;N;40
0;AIREL;99354944;FRAIH;FRAIH;;0;0;0;1;0;0.0;N;50
0;AIRVAULT CENTRE;87487132;FRVLT;FRVLT;;0;0;0;0;;0.0;N;79
0;AISEREY;87713636;FRAIY;AISER;;0;0;0;0;0;0.0;N;21
0;AISY;87713149;FRASY;AISY;;0;0;0;0;0;0.0;N;89
0;AITON BOURGNEUF;87741249;FRABN;AITON;;0;0;0;0;0;0.0;N;73
0;AIX EN PROVENCE;87751404;FRQXB;AIXPR;;0;0;0;0;0;0.0;O;13
0;AIX EN PROVENCE GARE ROUTIERE;87541797;FRQXC;FRQXC;;0;0;0;0;0;0.0;O;13
0;AIX EN PROVENCE TGV;87319012;FRAIE;FRAIE;;0;0;0;0;2;0.0;O;13
0;AIX LA MARSALOUSE;87594291;FRALM;AIXMA;;0;0;0;0;0;0.0;N;19
0;AIX LES BAINS - LE REVARD;87741132;FRXAI;AIXBA;;0;0;0;0;0;0.0;O;73
0;AIXE SUR VIENNE;87592667;FRASV;AIXEV;;0;0;0;0;0;0.0;N;87
0;AJAIN;87417808;FRFPQ;FRFPQ;;0;0;0;0;0;0.0;N;23
0;ALAI;87722744;FRCBY;ALAI;;0;0;0;0;0;0.0;N;69
0;ALBA (LOC);7033692;FRLBB;FRLBB;;1;0;0;0;0;0.0;N;7
0;ALBA PONT DES SCEAUTRES;87336925;FRSCE;FRSCE;;0;0;0;0;0;0.0;N;7
0;ALBA RUINES ROMAINES;87420836;FRSCU;FRSCU;;0;0;0;0;0;0.0;N;7
0;ALBAN CENTRE;87442772;FRUGU;FRUGU;;0;0;0;0;0;0.0;N;81
5;ALBAN RN20;87447805;FRUMV;FRUMV;;0;0;0;0;0;0.0;N;31
0;ALBAS;87613752;FRABS;ALBAS;;0;0;0;0;0;0.0;N;46
0;ALBAS (LOCALITE);46061375;FRFJJ;FRFJJ;;1;0;0;0;0;0.0;N;46
0;ALBAS (RIVIERE BASSE);87168716;FRFJH;FRFJH;;0;0;0;0;0;0.0;N;46
0;ALBAS (RIVIERE HAUTE);87168724;FRFJI;FRFJI;;0;0;0;0;0;0.0;N;46
0;ALBENS;87746115;FRALE;ALBEN;;0;0;0;0;0;0.0;N;73
0;ALBERT;87313072;FRCQO;ALBET;;0;0;0;0;0;0.0;N;80
0;ALBERTVILLE;87741645;FRXAV;ALBEV;1;0;0;0;0;0;0.0;N;73
0;ALBI;81061500;FRLBI;ALBI;;1;0;0;0;0;0.0;N;81
0;ALBI (HALTE ROUTIERE);87440354;FRUAQ;FRUAQ;;0;0;0;0;0;0.0;N;81
0;ALBI MADELEINE;87615195;FRAMA;ALBIM;;0;0;0;0;0;0.0;N;81
0;ALBI VILLE;87615005;FRAFJ;ALBIV;;0;0;0;0;0;0.0;O;81
0;ALBIAS;87613398;FRFTD;ALBIA;;0;0;0;0;0;0.0;N;82
0;ALBIAS ABRI BUS;87139089;FRUAM;FRUAM;;0;0;0;0;0;0.0;N;82
0;ALBIAS LOC;82061339;FRZHM;FRZHM;;1;0;0;0;0;0.0;N;82
0;ALBIEZ LE VIEUX;99739530;FRIYS;ALBVI;;0;0;0;1;0;0.0;N;73
0;ALBIEZ MONTROND;99730130;FRIVE;ALBMO;;0;0;0;1;;0.0;N;73
0;ALBIGNY NEUVILLE;87721266;FRHCJ;VILVR;;0;0;0;0;0;0.0;N;69
0;ALBINE;87615567;FRFVX;ALBIN;;0;0;0;0;0;0.0;N;81
0;ALBINE CROISEMENT N112/D88;87177212;FRUEF;FRUEF;;0;0;0;0;0;0.0;N;81
0;ALBINE LOC;81061556;FRZHN;FRZHN;;1;0;0;0;0;0.0;N;81
5;ALBY CENTRE;87447094;FRUFO;FRUFO;;0;0;0;0;0;0.0;N;81
0;ALENCON;87444711;FRXAN;ALENC;;0;0;0;0;0;0.0;N;61
0;ALES;87775288;FRXAS;ALES;;0;0;0;0;0;0.0;O;30
0;ALET LES BAINS;87615187;FRALB;ALETB;;0;0;0;0;0;0.0;N;11
0;ALIXAN CHATEAUNEUF D'ISERE;87761619;FRACI;ALIXA;;0;0;0;0;0;0.0;N;26
0;ALLANCHE;87645614;FRFNW;CHANO;;0;0;0;0;0;0.0;N;15
0;ALLASSAC;87594234;FRALC;ALLAS;;0;0;0;0;0;0.0;N;19
0;ALLEE DE LA TOUR RENDEZ VOUS;87113878;FRAJG;ALLEE;;0;0;0;0;0;75.0;N;93
0;ALLEGRE;87734665;FRHMM;ALLEG;;0;0;0;0;0;0.0;N;43
0;ALLEGRE LOC;43058933;FRLGZ;FRLGZ;;1;0;0;0;0;0.0;N;43
0;ALLEGRE MAISON RETRAITE;87589390;FRNDC;FRNDC;;0;0;0;0;0;0.0;N;43
0;ALLENC;87783654;FRAEC;ALLNC;;0;0;0;0;0;0.0;N;48
0;ALLER-RETOUR;87117122;FRLRR;FRLRR;;0;0;0;0;;0.0;N;75
0;ALLES SUR DORDOGNE;87584482;FRASD;ALLES;;0;0;0;0;;0.0;N;24
0;ALLEX;87769554;FRIIU;ALLEX;;0;0;0;0;;0.0;N;26
0;ALLEYRAS;87731885;FRAEY;ALLEY;;0;0;0;0;0;0.0;N;43
0;ALLOS;99040060;FRAAX;ALLOS;;0;0;0;1;;0.0;N;4
4;ALLUES;99730150;FRIVF;LALLU;;0;0;0;1;;0.0;N;73
0;ALLY;87003699;FRLLY;FRLLY;;0;0;0;0;0;0.0;N;15
0;ALOUETTE FRANCE;87581793;FRFAS;ALOUE;;0;0;0;0;0;0.0;N;33
1;ALPE D'HUEZ;99389360;FRAHZ;LALPE;;0;0;0;1;0;0.0;N;38
1;ALPE DU GRAND SERRE;99389340;FRIUX;LALPS;;0;0;0;1;;0.0;N;38
0;ALTECKENDORF;87213835;FRBXD;ALTEC;;0;0;0;0;0;0.0;N;67
0;ALTKIRCH;87182238;FRBJI;ALTKI;;0;0;0;0;0;0.0;N;68
0;ALZING;87117515;FRANU;ALZIN;;0;0;0;0;0;0.0;N;57
0;ALZONNE D6113;87443499;FRUHD;FRUHD;;0;0;0;0;0;0.0;N;11
0;AMAGNE LUCQUY;87172262;FRBDS;AMAGN;;0;0;0;0;0;0.0;N;8
5;AMANCET;87464560;FRGQJ;FRGQJ;;0;0;0;0;0;0.0;N;81
5;AMAND (LOCALITE);41057464;FRSAM;FRSAM;;1;0;0;0;0;0.0;N;41
5;AMAND DE VENDOME;87574640;FREVC;SAMVE;;0;0;0;0;0;0.0;N;41
5;AMAND LES EAUX;87343103;FRCYX;SAMEA;;0;0;0;0;0;0.0;N;59
5;AMAND LONGPRE;87422469;FRSML;FRSML;;0;0;0;0;0;0.0;N;41
