spt_ide;saa_ide;spt_code;spt_name;coord;spt_xcoord;spt_ycoord;spt_insee;csp_ide;spt_ufr;spt_sheltered;spt_elevator;spt_escalator;spt_bikeaccepted;spt_bikedepot;spt_visualannouncement;spt_audibleannouncement;spt_appropriatesignage;spt_appropriateescort
5768;4530;OCE9-87381269;gare de Sιrifontaine (Centre);558381,2484560;558381;2484560;60616;2;0;0;0;0;0;0;0;0;0;0
5773;4532;OCE9-87448951;Tille-Aιroport;583718,2495784;583718;2495784;60639;2;0;0;0;0;0;0;0;0;0;0
5780;4538;OCECar TER-87272104;Vineuil-St-Firmin;611272,2468745;611272;2468745;60695;2;0;0;0;0;0;0;0;0;0;0
5785;4540;9-87317362;gare de Abbeville;563312,2567490;563312;2567490;80001;2;0;0;0;0;0;0;0;0;0;0
5792;4543;OCECar TER-87313098;gare de Ailly-sur-Somme;590224,2548009;590224;2548009;80011;2;0;0;0;0;0;0;0;0;0;0
5797;4545;OCE9-87588434;Amiens-Citι-Scolaire;597207,2542535;597207;2542535;80021;2;0;0;0;0;0;0;0;0;0;0
5799;4547;OCE9-87588426;Amiens-Universitaire;594830,2541986;594830;2541986;80021;2;0;0;0;0;0;0;0;0;0;0
5804;4548;OCETrain TER-87313874;gare de Amiens;597957,2543793;597957;2543793;80021;2;0;0;0;0;0;0;0;0;0;0
5811;4553;OCE9-87588533;Courcelles-80;647239,2547202;647239;2547202;80150;2;0;0;0;0;0;0;0;0;0;0
5816;4556;9-87315259;Cartigny-Mairie;648294,2546837;648294;2546837;80177;2;0;0;0;0;0;0;0;0;0;0
5818;4557;OCECar TER-87317495;gare de Chιpy-Valines;549713,2563805;549713;2563805;80190;2;0;0;0;0;0;0;0;0;0;0
5823;4559;OCECar TER-87313056;gare de Corbie;611764,2546194;611764;2546194;80212;2;0;0;0;0;0;0;0;0;0;0
5830;4562;9-87316240;Doingt-Eglise;645301,2547544;645301;2547544;80240;2;0;0;0;0;0;0;0;0;0;0
5835;4565;OCECar TER-87316075;gare de Dreuil-lθs-Amiens;592204,2546538;592204;2546538;80256;2;0;0;0;0;0;0;0;0;0;0
5842;4570;OCETrain TER-87316745;gare de Acheux-Franleu;551294,2565382;551294;2565382;80345;2;0;0;0;0;0;0;0;0;0;0
5847;4573;OCE9-87299818;Chaulnes-Centre;706146,2513479;706146;2513479;80409;2;0;0;0;0;0;0;0;0;0;0
5849;4574;OCE9-87313478;gare de Chaulnes-SNCF;633436,2534652;633436;2534652;80409;2;0;0;0;0;0;0;0;0;0;0
5854;4577;OCETrain TER-87313114;gare de Hangest;580604,2554036;580604;2554036;80415;2;0;0;0;0;0;0;0;0;0;0
5861;4581;9-87316216;Hyencourt-le-Grand;635703,2536963;635703;2536963;80447;2;0;0;0;0;0;0;0;0;0;0
4605;3852;OCETransilien-87382333;gare de Chaville-Rive-Droite;589075,2423759;589075;2423759;92022;2;0;0;0;0;0;0;0;0;0;0
4608;3854;OCERER C-87393173;gare de Chaville-Velizy;588788,2422385;588788;2422385;92022;2;0;0;0;0;0;0;0;0;0;0
4613;3857;OCENoctilien-87381087;gare de Colombes;594356,2436116;594356;2436116;92025;2;0;0;0;0;0;0;0;0;0;0
4620;3861;OCENoctilien-87382200;gare de Courbevoie;593505,2433334;593505;2433334;92026;2;0;0;0;0;0;0;0;0;0;0
4625;3865;OCETransilien-87386003;gare de La Garenne-Colombes;592916,2434579;592916;2434579;92035;2;0;0;0;0;0;0;0;0;0;0
4627;3867;OCENoctilien-87432898;Garenne-Colombes-Noctil;592916,2434579;592916;2434579;92035;2;0;0;0;0;0;0;0;0;0;0
4632;3870;OCENoctilien-87606541;Grιsillons-Noctilien;0,0;0;0;92036;2;0;0;0;0;0;0;0;0;0;0
4639;3874;OCETransilien-87393116;gare de Bellevue;592147,2424535;592147;2424535;92048;2;0;0;0;0;0;0;0;0;0;0
4644;3877;OCERER A-87758029;gare de Nanterre-Prιf.;591683,2433045;591683;2433045;92050;2;0;0;0;0;0;0;0;0;0;0
4651;3882;OCENoctilien-87382382;gare de Puteaux;592471,2431709;592471;2431709;92062;2;0;0;0;0;0;0;0;0;0;0
4656;3886;OCERER B-87758730;gare de Parc-de-Sceaux;598055,2419134;598055;2419134;92071;2;0;0;0;0;0;0;0;0;0;0
4659;3889;OCETransilien-87393124;gare de Sθvres-Rive-Gauche;591042,2424776;591042;2424776;92072;2;0;0;0;0;0;0;0;0;0;0
4664;3893;OCETransilien-87382366;gare de Le Val-d'Or;591209,2428737;591209;2428737;92073;2;0;0;0;0;0;0;0;0;0;0
4671;3897;OCENoctilien-87594945;Aulnay-Sous-Bois-Noc;611577,2437084;611577;2437084;93005;2;0;0;0;0;0;0;0;0;0;0
4676;3901;RATbobig;Bobigny Pablo Picasso;608328,2434308;608328;2434308;93008;2;0;0;0;0;0;0;0;0;0;0
4678;3903;OCERER E-87113407;gare de Bondy;610435,2432909;610435;2432909;93010;2;0;0;0;0;0;0;0;0;0;0
4683;3907;OCERER B-87271395;gare de Le Bourget;606545,2436965;606545;2436965;93013;2;0;0;0;0;0;0;0;0;0;0
4690;3913;OCETransilien-87271122;gare de Epinay-Villetaneuse;599432,2439990;599432;2439990;93031;2;0;0;0;0;0;0;0;0;0;0
4695;3916;OCETransilien-87113514;gare de Gagny;613974,2431683;613974;2431683;93032;2;0;0;0;0;0;0;0;0;0;0
4702;3920;OCERER E-87113704;gare de Rosny-sous-Bois;610943,2430279;610943;2430279;93049;2;0;0;0;0;0;0;0;0;0;0
4707;3924;OCETransilien-87113803;gare de Yvris-Noisy-le-Grand;617874,2425006;617874;2425006;93051;2;0;0;0;0;0;0;0;0;0;0
4710;3926;OCENoctilien-87113217;gare de Noisy-le-Sec;609055,2433165;609055;2433165;93053;2;0;0;0;0;0;0;0;0;0;0
4716;3928;OCENoctilien-87594937;Pantin-Noctilien;604688,2433279;604688;2433279;93055;2;0;0;0;0;0;0;0;0;0;0
4723;3932;OCETransilien-87113696;gare de Rosny-Bois-Perrier;610640,2431610;610640;2431610;93064;2;0;0;0;0;0;0;0;0;0;0
4728;3936;OCENoctilien-87981803;Fret-Centre;0,0;0;0;93066;2;0;0;0;0;0;0;0;0;0;0
4730;3938;OCENoctilien-87271015;gare de St-Denis;600696,2437396;600696;2437396;93066;2;0;0;0;0;0;0;0;0;0;0
4735;3940;OCENoctilien-87983619;Porte-de-Paris;0,0;0;0;93066;2;0;0;0;0;0;0;0;0;0;0
4742;3946;OCENoctilien-87594952;Sevran-Livry-Noctilien;614544,2437556;614544;2437556;93071;2;0;0;0;0;0;0;0;0;0;0
4747;3951;OCERER B-87271486;gare de Parc-des-Expositions;613017,2441735;613017;2441735;93078;2;0;0;0;0;0;0;0;0;0;0
4749;3953;OCENoctilien-87982074;Villepinte-Espace-V;0,0;0;0;93078;2;0;0;0;0;0;0;0;0;0;0
4754;3957;OCERER B-87758672;gare de Arcueil-Cachan;599372,2422222;599372;2422222;94003;2;0;0;0;0;0;0;0;0;0;0
2211;1945;OCEThalys-88810000;gare de Mons;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2216;1950;OCETrain-83015354;gare de MONTELLO GORLAGO;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2223;1957;OCELyria-85013003;gare de Montreux;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2228;1961;OCETrain-54343020;gare de MORAVSKY BEROUN;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
