reg_adm;reg_lib;reg_sncf_telecom;23p;32p
BFC2;BOURGOGNE-FRANCHE-COMTE (EX BGNE2);AUV;4;6
CEN2;CENTRE (EX CNTR2);IDF (Paris Atlantique);9;40
CEN4;CENTRE (EX CNTR4);IDF (Paris Sud Est);0;9
LR;LANGUEDOC-ROUSILLON (EX LGRO);LR;2;0
PIC1;PICARDIE (EX PCRD);IDF (Paris Nord);23;48
AUV;AUVERGNE (AUV);AUV;2;0
BR;BRETAGNE (EX BRE);BR;0;2
CEN3;CENTRE (EX CNTR3);LM;0;4
BFC3;BOURGOGNE-FRANCHE-COMTE (EX FC1);BFC;5;69
LM;LIMOUSIN (EX LMSN);LM;0;5
PIC2;PICARDIE (EX PCRD2);PIC;30;33
IDF;ILE DE FRANCE (AFL BOUT DE LIGNE gérés par l'ESTI);IDF TN (Paris Nord);0;9
BFC1;BOURGOGNE-FRANCHE-COMTE (EX BGNE1);BFC;24;19
CEN1;CENTRE (EX CNTR1);CEN;18;110
NOR2;NORMANDIE (AFL gérés par l'ESTI);IDF (Paris Atlantique);1;1
MPY2;MIDI-PYRENEES (EX MIDIPY);LM;0;3
PACA;PROVENCE-ALPE-COTE D'AZUR (EX PACA);PACA;49;161
IDF;ILE DE FRANCE (AFL gérés par l'ESTI);IDF (Paris Atlantique);1;3
AL;ALSACE;AL;12;148
CA1;CHAMPAGNE ARDENNE (EX CHMPGN);IDF (Paris Est);1;3
BFC4;BOURGOGNE-FRANCHE-COMTE (EX FC2);AL;0;11
LOR;LORRAINE (EX LRNE);LOR;4;59
PL;PAYS DE LOIRE (EX PL);PL;16;0
PCA1;POITOU-CHARENTE AQUITAINE (EX AQTN);PCA;2;4
NOR1;NORMANDIE;NOR;3;23
CA2;CHAMPAGNE ARDENNE (EX CHMPGN2);CA;1;4
MPY1;MIDI-PYRENEES (EX MIDIPY);MPY;39;74
NPC;NORD PAS DE CALAIS (EX NPDC);NPC;8;296
PCA2;POITOU-CHARENTE (EX POITOU);PCA;2;0
