region;annee;mois;regularite
Rhône-Alpes;2010;Décembre;76.9
Basse Normandie;2011;Janvier;92.7
Languedoc-Roussillon;2011;Janvier;90.7
Pays de la Loire;2011;Janvier;91.6
Poitou-Charentes;2011;Janvier;93.6
Aquitaine;2011;Février;88.0
Franche-Comté;2011;Février;93.8
Midi-Pyrénées;2011;Février;91.2
Pays de la Loire;2011;Février;93.8
Ensemble des TER;2011;Février;92.6
Centre;2011;Mars;91.6
Limousin;2011;Mars;95.8
Provence-Alpes-Côte d'Azur;2011;Mars;90.0
Auvergne;2011;Avril;93.7
Bourgogne;2011;Avril;92.5
Haute Normandie;2011;Avril;96.4
Picardie;2011;Avril;94.1
Alsace;2011;Mai;95.0
Auvergne;2011;Mai;94.0
Champagne-Ardenne;2011;Mai;94.4
Pays de la Loire;2011;Mai;90.5
Ensemble des TER;2011;Mai;92.4
Aquitaine;2011;Juin;91.0
Centre;2011;Juin;88.9
Midi-Pyrénées;2011;Juin;92.6
Provence-Alpes-Côte d'Azur;2011;Juin;87.4
Bourgogne;2011;Juillet;93.9
Haute Normandie;2011;Juillet;95.7
Limousin;2011;Juillet;94.0
Picardie;2011;Juillet;94.9
Auvergne;2011;Août;94.6
Champagne-Ardenne;2011;Août;96.4
Haute Normandie;2011;Août;96.1
Nord-Pas de Calais;2011;Août;95.3
Alsace;2011;Septembre;96.5
Bretagne;2011;Septembre;94.1
Lorraine;2011;Septembre;95.8
Poitou-Charentes;2011;Septembre;93.8
Rhône-Alpes;2011;Septembre;90.8
Basse Normandie;2011;Octobre;94.9
Limousin;2011;Octobre;92.7
Picardie;2011;Octobre;94.1
Provence-Alpes-Côte d'Azur;2011;Octobre;85.1
Auvergne;2011;Novembre;84.5
Haute Normandie;2011;Novembre;93.1
Nord-Pas de Calais;2011;Novembre;90.8
Picardie;2011;Novembre;91.1
Alsace;2011;Décembre;95.1
Champagne-Ardenne;2011;Décembre;95.5
Lorraine;2011;Décembre;96.0
Alsace;2009;Janvier;92.9
