saa_ide;csp_ide;saa_code;saa_name;coord;saa_xcoord;saa_ycoord;saa_insee;mainstoparea;mainconnection;carpark;multimodal;additionaldata;saa_visible
314;2;OCE82006030;gare de Bettembourg;922290,2578143;922290;2578143;;1;0;0;0;;1
709;2;OCE85035089;gare de Dietikon;0,0;0;0;;1;0;0;0;;1
1025;2;OCE76021071;gare de GJERSTAD;0,0;0;0;;1;0;0;0;;1
1421;2;OCE10002998;gare de Kauhava;0,0;0;0;;1;0;0;0;;1
1973;2;OCE20195503;gare de Moskva-Iaroslavsk;0,0;0;0;;1;0;0;0;;1
2362;2;OCE54572263;gare de Praha-Smichow;0,0;0;0;;1;0;0;0;;1
2522;2;OCE80270892;gare de Rostock hbf.;0,0;0;0;;1;0;0;0;;1
2914;2;OCE70422204;gare de Swansea;0,0;0;0;;1;0;0;0;;1
3458;2;OCE87758623;gare de Port-Royal;600012,2426830;600012;2426830;75056;1;0;0;0;;1
3795;2;OCE87414425;Pyramide-de-Juvisy;0,0;0;0;91326;1;0;0;0;;1
3930;2;OCE87271163;gare de Pierrefitte-Stains;602614,2440660;602614;2440660;93059;1;0;0;0;;1
4277;2;OCE87174870;gare de Ste-Menehould;787625,2457738;787625;2457738;51507;1;0;0;0;;1
4770;2;OCE87393488;gare de Dreux;528881,2415213;528881;2415213;28134;1;0;0;0;;1
5125;2;OCE87696146;gare de Cosne-sur-Loire;644942,2268432;644942;2268432;58086;1;0;0;0;;1
5548;2;OCE87406678;Cons-la-Grandville (Mo);844006,2503755;844006;2503755;54137;1;0;0;0;;1
5553;2;OCE87141705;Domgermain;857751,2410900;857751;2410900;54162;1;0;0;0;;1
5555;2;OCE87141200;gare de Einvaux;899741,2397158;899741;2397158;54175;1;0;0;0;;1
5560;2;OCE87141036;gare de Foug;854455,2414544;854455;2414544;54205;1;0;0;0;;1
5567;2;OCE87141473;gare de Houdemont;883204,2412138;883204;2412138;54264;1;0;0;0;;1
5572;2;OCE87148015;Laneuveville-aux-Bois;918159,2410223;918159;2410223;54297;1;0;0;0;;1
5577;2;OCE87406694;Lexy (Rue du Square);845853,2505113;845853;2505113;54314;1;0;0;0;;1
5582;2;OCE87406611;Longuyon (Pont-2-Eaux);836770,2499501;836770;2499501;54322;1;0;0;0;;1
5584;2;OCE87406710;Longwy (Gare Routière);848727,2507253;848727;2507253;54323;1;0;0;0;;1
5589;2;OCE87407072;Lunéville (Cité Scolai);907664,2408033;907664;2408033;54329;1;0;0;0;;1
5596;2;OCE87194480;La Roche-sous-Montigny;840843,2502762;840843;2502762;54378;1;0;0;0;;1
5601;2;OCE87405647;Mont-sur-Meurthe (Mont);903228,2403041;903228;2403041;54383;1;0;0;0;;1
5608;2;OCE87141788;gare de Pompey;878909.55,2426152.15;878909.55;2426152.15;54430;1;0;0;0;;1
5613;2;OCE87117135;Rehainviller;905064,2404008;905064;2404008;54449;1;0;0;0;;1
5615;2;OCE87477570;Rehon-Poste;847723,2506156;847723;2506156;54451;1;0;0;0;;1
5620;2;OCE87141432;gare de Thiaville;931088.75,2388862.86;931088.75;2388862.86;54519;1;0;0;0;;1
5627;2;OCE87192476;gare de Vandières;871226.89,2445753.36;871226.89;2445753.36;54546;1;0;0;0;;1
5632;2;OCE87406652;Villette Moulin Battin;0,0;0;0;54582;1;0;0;0;;1
5634;2;OCE87141226;Xermaménil;904590,2400712;904590;2400712;54595;1;0;0;0;;1
5639;2;OCE87175257;gare de Commercy;839142,2423547;839142;2423547;55122;1;0;0;0;;1
5646;2;OCE87147322;gare de Meuse-TGV;814901,2446269;814901;2446269;55254;1;0;0;0;;1
5651;2;OCE87406637;Montmédy (Centre);819569,2506688;819569;2506688;55351;1;0;0;0;;1
5658;2;OCE87191403;Aboncourt;891997,2481151;891997;2481151;57001;1;0;0;0;;1
5663;2;OCE87191387;gare de Anzeling;900129,2481745;900129;2481745;57025;1;0;0;0;;1
5665;2;OCE87192153;Arraincourt;907215,2449595;907215;2449595;57027;1;0;0;0;;1
5670;2;OCE87192245;Baudrecourt;901426,2448231;901426;2448231;57054;1;0;0;0;;1
5678;2;OCE87193839;Bitche-Camp;975688,2462381;975688;2462381;57089;1;0;0;0;;1
5683;2;OCE87192146;Holacourt;905945,2449741;905945;2449741;57115;1;0;0;0;;1
5685;2;OCE87406850;Cocheren (Village);929863,2470398;929863;2470398;57144;1;0;0;0;;1
5690;2;OCE87193532;Diebling;936146,2466636;936146;2466636;57176;1;0;0;0;;1
5697;2;OCE87213298;Bannstein;977915,2457582;977915;2457582;57188;1;0;0;0;;1
5702;2;OCE87407247;Budange;891776,2482882;891776;2482882;57206;1;0;0;0;;1
5704;2;OCE87406884;Farébersviller (Moulin);930701,2467103;930701;2467103;57207;1;0;0;0;;1
5709;2;OCE87193136;Han-sur-Nied;900103,2451421;900103;2451421;57209;1;0;0;0;;1
5716;2;OCE87193003;gare de Forbach;932853,2475407;932853;2475407;57227;1;0;0;0;;1
5721;2;OCE87407130;Gosselming (Poste);942947,2431566;942947;2431566;57255;1;0;0;0;;1
4067;2;OCE87276089;gare de Montigny-Beauchamp;589841,2445501;589841;2445501;95424;1;0;0;0;;1
4072;2;OCE87381145;gare de Osny;579607,2451680;579607;2451680;95476;1;0;0;0;;1
4079;2;OCE87994210;Aéroport-CDG-T1;616412,2445760;616412;2445760;95527;1;0;0;0;;1
4084;2;OCE87271494;gare de Aéropt-C-de-Gaulle-TGV;617211,2445125;617211;2445125;95527;1;0;0;0;;1
4086;2;OCE87588392;Roissy-Pole;616219,2445727;616219;2445727;95527;1;0;0;0;;1
4091;2;OCE87276105;gare de St-Ouen-l'Aumône;583177,2449738;583177;2449738;95572;1;0;0;0;;1
4098;2;OCE87606574;Sannois-Noctilien;0,0;0;0;95582;1;0;0;0;;1
4103;2;OCE87276634;gare de Taverny;591603,2447484;591603;2447484;95607;1;0;0;0;;1
4105;2;OCE87381178;gare de Us;573254,2455807;573254;2455807;95625;1;0;0;0;;1
4110;2;OCE87172858;gare de Anchamps;767869,2550724;767869;2550724;8011;1;0;0;0;;1
4117;2;OCE87172353;gare de Carignan;804786,2518302;804786;2518302;8090;1;0;0;0;;1
4122;2;OCE87172239;gare de Donchery;783291,2525322;783291;2525322;8142;1;0;0;0;;1
4129;2;OCE87172098;gare de Fumay;769149,2556983;769149;2556983;8185;1;0;0;0;;1
4135;2;OCE87588673;Liart-Centre;0,0;0;0;8254;1;0;0;0;;1
4137;2;OCE87172262;gare de Amagne-Lucquy;754881,2505051;754881;2505051;8262;1;0;0;0;;1
4142;2;OCE87172213;gare de Nouvion-sur-Meuse;777546,2525012;777546;2525012;8327;1;0;0;0;;1
4149;2;OCE87297275;Mainbressy;736070,2525088;736070;2525088;8366;1;0;0;0;;1
4154;2;OCE87172221;gare de Vrigne-Meuse;781008,2525534;781008;2525534;8492;1;0;0;0;;1
4156;2;OCE87215624;Ailleville;774196,2364340;774196;2364340;10002;1;0;0;0;;1
4161;2;OCE87139535;Barberey-Route-de-Méry;725609,2372455;725609;2372455;10030;1;0;0;0;;1
4169;2;OCE87117911;Chamoy-Carrefour D1/D23;721860,2347686;721860;2347686;10074;1;0;0;0;;1
4174;2;OCE87139899;Le Cheminot;724559,2351142;724559;2351142;10116;1;0;0;0;;1
4176;2;OCE87110346;Ervy-le-Châtel-Halle;0,0;0;0;10140;1;0;0;0;;1
4181;2;OCE87139865;Lirey-La-Chapelle;726914,2352181;726914;2352181;10198;1;0;0;0;;1
4188;2;OCE87118141;Maizières-Gde-Parroisse;707135,2390574;707135;2390574;10220;1;0;0;0;;1
4193;2;OCE87279968;Montaulin-Mairie;737946,2363092;737946;2363092;10245;1;0;0;0;;1
4200;2;OCE87216150;Nogent-S/S De Gaulle;686719,2388804;686719;2388804;10268;1;0;0;0;;1
4205;2;OCE87118158;gare de Romilly-sur-Seine;702858,2391510;702858;2391510;10323;1;0;0;0;;1
4208;2;OCE87216127;Romilly-S/S Hôpital;701910,2391677;701910;2391677;10323;1;0;0;0;;1
4213;2;OCE87280016;Rouilly-St-Loup-Guérade;733655,2364785;733655;2364785;10329;1;0;0;0;;1
4220;2;OCE87118067;St-Lyé;723233,2374621;723233;2374621;10349;1;0;0;0;;1
4225;2;OCE87215731;Trannes;766805,2369471;766805;2369471;10384;1;0;0;0;;1
4227;2;OCE87216036;Troyes(Bld 14 Juillet);729364,2367562;729364;2367562;10387;1;0;0;0;;1
4232;2;OCE87216051;Troyes-Victor-Hugo;728584,2367421;728584;2367421;10387;1;0;0;0;;1
4239;2;OCE87117978;Villery;725123,2353780;725123;2353780;10425;1;0;0;0;;1
4244;2;OCE87171561;gare de Ay;721794,2451371;721794;2451371;51030;1;0;0;0;;1
4251;2;OCE87174003;gare de Châlons-en-Champagne;747458,2441588;747458;2441588;51108;1;0;0;0;;1
4256;2;OCE87171330;gare de Fismes;697939,2480086;697939;2480086;51250;1;0;0;0;;1
4258;2;OCE87417477;Blesme-Centre;779541,2416900;779541;2416900;51284;1;0;0;0;;1
4263;2;OCE87400986;gare de Magneux-Courlandon;701641,2480056;701641;2480056;51337;1;0;0;0;;1
4271;2;OCE87171009;gare de Reims;722928,2474803;722928;2474803;51454;1;0;0;0;;1
4276;2;OCE87174441;gare de St-Hilaire-au-Temple;749368,2452862;749368;2452862;51485;1;0;0;0;;1
4279;2;OCE87171637;gare de Sillery;731814,2468799;731814;2468799;51536;1;0;0;0;;1
4284;2;OCE87674135;Togny-aux-Boeufs;754780,2430314;754780;2430314;51574;1;0;0;0;;1
4291;2;OCE87112300;Vitry-le-François-pi;765171,2416565;765171;2416565;51649;1;0;0;0;;1
4296;2;OCE87279877;Bricon(la Poste);796745,2345706;796745;2345706;52076;1;0;0;0;;1
4298;2;OCE87215228;Buxieres-les-Villiers;801100,2348544;801100;2348544;52087;1;0;0;0;;1
4303;2;OCE87142133;Chaudenay (Haute-Marne);836167,2317848;836167;2317848;52119;1;0;0;0;;1
4310;2;OCE87142125;gare de Culmont-Chalindrey;832636,2316909;832636;2316909;52155;1;0;0;0;;1
4315;2;OCE87142158;Charmoy-Fayl-Billot;844759,2314257;844759;2314257;52197;1;0;0;0;;1
238;2;OCE71313114;gare de BANDEIRA;0,0;0;0;;1;0;0;0;;1
629;2;OCE82001180;gare de Colmar-Berg;0,0;0;0;;1;0;0;0;;1
946;2;OCE80204875;gare de FREISING;0,0;0;0;;1;0;0;0;;1
1342;2;OCE71570036;gare de Iznalloz;0,0;0;0;;1;0;0;0;;1
1896;2;OCE55178897;gare de Mezobereny;0,0;0;0;;1;0;0;0;;1
