saa_code;saa_xcoord;saa_ycoord
82006030;922290;2578143
85035089;0;0
76021071;0;0
10002998;0;0
20195503;0;0
54572263;0;0
80270892;0;0
70422204;0;0
87758623;600012;2426830
87414425;0;0
87271163;602614;2440660
87174870;787625;2457738
87393488;528881;2415213
87696146;644942;2268432
87406678;844006;2503755
87141705;857751;2410900
87141200;899741;2397158
87141036;854455;2414544
87141473;883204;2412138
87148015;918159;2410223
87406694;845853;2505113
87406611;836770;2499501
87406710;848727;2507253
87407072;907664;2408033
87194480;840843;2502762
87405647;903228;2403041
87141788;878909.55;2426152.15
87117135;905064;2404008
87477570;847723;2506156
87141432;931088.75;2388862.86
87192476;871226.89;2445753.36
87406652;0;0
87141226;904590;2400712
87175257;839142;2423547
87147322;814901;2446269
87406637;819569;2506688
87191403;891997;2481151
87191387;900129;2481745
87192153;907215;2449595
87192245;901426;2448231
87193839;975688;2462381
87192146;905945;2449741
87406850;929863;2470398
87193532;936146;2466636
87213298;977915;2457582
87407247;891776;2482882
87406884;930701;2467103
87193136;900103;2451421
87193003;932853;2475407
87407130;942947;2431566
87276089;589841;2445501
87381145;579607;2451680
87994210;616412;2445760
87271494;617211;2445125
87588392;616219;2445727
87276105;583177;2449738
87606574;0;0
87276634;591603;2447484
87381178;573254;2455807
87172858;767869;2550724
87172353;804786;2518302
87172239;783291;2525322
87172098;769149;2556983
87588673;0;0
87172262;754881;2505051
87172213;777546;2525012
87297275;736070;2525088
87172221;781008;2525534
87215624;774196;2364340
87139535;725609;2372455
87117911;721860;2347686
87139899;724559;2351142
87110346;0;0
87139865;726914;2352181
87118141;707135;2390574
87279968;737946;2363092
87216150;686719;2388804
87118158;702858;2391510
87216127;701910;2391677
87280016;733655;2364785
87118067;723233;2374621
87215731;766805;2369471
87216036;729364;2367562
87216051;728584;2367421
87117978;725123;2353780
87171561;721794;2451371
87174003;747458;2441588
87171330;697939;2480086
87417477;779541;2416900
87400986;701641;2480056
87171009;722928;2474803
87174441;749368;2452862
87171637;731814;2468799
87674135;754780;2430314
87112300;765171;2416565
87279877;796745;2345706
87215228;801100;2348544
87142133;836167;2317848
87142125;832636;2316909
87142158;844759;2314257
71313114;0;0
82001180;0;0
80204875;0;0
71570036;0;0
55178897;0;0
83017038;0;0
71032136;0;0
80012096;0;0
84007427;0;0
